transaction_id,transaction_date,transaction_qty,product_id,day,month,year,month_year,product_name
1,1/1/2023,2,32,1,1,2023,2023-01,Engine Oil 10W-40
2,1/1/2023,2,57,1,1,2023,2023-01,Engine Oil 5W-30
3,1/1/2023,2,59,1,1,2023,2023-01,Engine Oil 15W-40
4,1/1/2023,1,22,1,1,2023,2023-01,Engine Oil Fully Synthetic
5,1/1/2023,2,57,1,1,2023,2023-01,Engine Oil 5W-30
6,1/1/2023,1,77,1,1,2023,2023-01,Transmission Fluid ATF
7,1/1/2023,1,22,1,1,2023,2023-01,Engine Oil Fully Synthetic
8,1/1/2023,2,28,1,1,2023,2023-01,Synthetic Gear Oil
9,1/1/2023,1,39,1,1,2023,2023-01,Manual Gear Oil 80W-90
10,1/1/2023,2,58,1,1,2023,2023-01,Brake Fluid DOT 3
11,1/1/2023,1,56,1,1,2023,2023-01,Brake Fluid DOT 4
12,1/1/2023,2,33,1,1,2023,2023-01,Brake Pads Front Set
13,1/1/2023,1,51,1,1,2023,2023-01,Brake Pads Rear Set
14,1/1/2023,1,57,1,1,2023,2023-01,Engine Oil 5W-30
15,1/1/2023,2,87,1,1,2023,2023-01,Brake Shoes Rear Set
16,1/1/2023,2,47,1,1,2023,2023-01,Brake Disc Rotor Front
17,1/1/2023,1,79,1,1,2023,2023-01,Brake Disc Rotor Rear
18,1/1/2023,1,42,1,1,2023,2023-01,Spark Plug Standard
19,1/1/2023,2,59,1,1,2023,2023-01,Engine Oil 15W-40
20,1/1/2023,1,61,1,1,2023,2023-01,Spark Plug Iridium
21,1/1/2023,2,33,1,1,2023,2023-01,Brake Pads Front Set
22,1/1/2023,2,56,1,1,2023,2023-01,Brake Fluid DOT 4
23,1/1/2023,1,69,1,1,2023,2023-01,Spark Plug Platinum
24,1/1/2023,1,56,1,1,2023,2023-01,Brake Fluid DOT 4
25,1/1/2023,1,40,1,1,2023,2023-01,Ignition Coil Pack
26,1/1/2023,1,43,1,1,2023,2023-01,Motorcycle Chain
27,1/1/2023,1,76,1,1,2023,2023-01,Chain Lube Spray
28,1/1/2023,2,45,1,1,2023,2023-01,Drive Belt
29,1/1/2023,1,71,1,1,2023,2023-01,Timing Belt Kit
30,1/1/2023,2,40,1,1,2023,2023-01,Ignition Coil Pack
31,1/1/2023,1,38,1,1,2023,2023-01,Air Filter
32,1/1/2023,1,26,1,1,2023,2023-01,Cabin Air Filter
33,1/1/2023,2,27,1,1,2023,2023-01,Oil Filter
34,1/1/2023,2,29,1,1,2023,2023-01,Fuel Filter
35,1/1/2023,1,54,1,1,2023,2023-01,Diesel Fuel Filter
36,1/1/2023,1,26,1,1,2023,2023-01,Cabin Air Filter
37,1/1/2023,1,55,1,1,2023,2023-01,Radiator Coolant
38,1/1/2023,2,40,1,1,2023,2023-01,Ignition Coil Pack
39,1/1/2023,1,45,1,1,2023,2023-01,Drive Belt
40,1/1/2023,2,45,1,1,2023,2023-01,Drive Belt
41,1/1/2023,1,24,1,1,2023,2023-01,Coolant Concentrate
42,1/1/2023,2,60,1,1,2023,2023-01,Radiator Hose Upper
43,1/1/2023,1,78,1,1,2023,2023-01,Radiator Hose Lower
44,1/1/2023,1,56,1,1,2023,2023-01,Brake Fluid DOT 4
45,1/1/2023,1,77,1,1,2023,2023-01,Transmission Fluid ATF
46,1/1/2023,1,44,1,1,2023,2023-01,Water Pump Assembly
47,1/1/2023,2,56,1,1,2023,2023-01,Brake Fluid DOT 4
48,1/1/2023,1,48,1,1,2023,2023-01,Motorcycle Tire Front
49,1/1/2023,1,23,1,1,2023,2023-01,Motorcycle Tire Rear
50,1/1/2023,1,46,1,1,2023,2023-01,All-Season Car Tire
51,1/1/2023,1,32,1,1,2023,2023-01,Engine Oil 10W-40
52,1/1/2023,2,47,1,1,2023,2023-01,Brake Disc Rotor Front
53,1/1/2023,2,43,1,1,2023,2023-01,Motorcycle Chain
54,1/1/2023,2,25,1,1,2023,2023-01,Battery 12V 5Ah
55,1/1/2023,1,59,1,1,2023,2023-01,Engine Oil 15W-40
56,1/1/2023,1,38,1,1,2023,2023-01,Air Filter
57,1/1/2023,1,45,1,1,2023,2023-01,Drive Belt
58,1/1/2023,1,34,1,1,2023,2023-01,Battery 12V 9Ah
59,1/1/2023,2,36,1,1,2023,2023-01,Battery 12V 45Ah
60,1/1/2023,1,74,1,1,2023,2023-01,Battery 12V 60Ah
61,1/1/2023,1,53,1,1,2023,2023-01,Clutch Plate Set
62,1/1/2023,2,41,1,1,2023,2023-01,Clutch Master Cylinder
63,1/1/2023,1,41,1,1,2023,2023-01,Clutch Master Cylinder
64,1/1/2023,2,45,1,1,2023,2023-01,Drive Belt
65,1/1/2023,1,79,1,1,2023,2023-01,Brake Disc Rotor Rear
66,1/1/2023,2,54,1,1,2023,2023-01,Diesel Fuel Filter
67,1/1/2023,1,24,1,1,2023,2023-01,Coolant Concentrate
68,1/1/2023,2,37,1,1,2023,2023-01,Clutch Slave Cylinder
69,1/1/2023,2,40,1,1,2023,2023-01,Ignition Coil Pack
70,1/1/2023,2,37,1,1,2023,2023-01,Clutch Slave Cylinder
71,1/1/2023,1,69,1,1,2023,2023-01,Spark Plug Platinum
